videoId;title;channelTitle;channelId;description;publishedAt;url_thumb;viewCount;likeCount;dislikeCount;favoriteCount;commentCount
EriGWi2gdQk;Melhores Golaços Da Copa Do Mundo 2018;SportsHD;UCU6JLYuerEUb7VrDd4zLihg;Acesse 22bet para ganhar dinheiro com futebol 100 Dólares de Bônus através do link: https://bit.ly/2yk5FZZ Melhores Golaços Da Copa Do Mundo 2018 ...;2018-10-10T20:25:40.000Z;https://i.ytimg.com/vi/EriGWi2gdQk/hqdefault.jpg;202342;3992;124;0;132
Lhpv4aLOgCA;PREVISÕES PARA COPA DO MUNDO 2018 - O VENCEDOR !!;Você Sabia?;UCj0O6W8yDuLg3iraAXKgCrQ;Copa do Mundo Russia 2018, quem vai ser o campeão? Hoje vocês vão ver as previsões de alguns videntes.;2018-06-16T21:08:14.000Z;https://i.ytimg.com/vi/Lhpv4aLOgCA/hqdefault.jpg;3067069;325674;6314;0;61472
FLf1vkE9OWA;FIFA 18 - Copa do Mundo da Rússia - Parte 1: Vai Brasil!!!! [ PS4 Pro - Playthrough ];Lucky Salamander;UCrR3Pb60RA7lks1zV_LYauw;Siga a Gloriosa Picanha!!! [Twitter ✓ - http://goo.gl/MjM5at ] - [Facebook ✓ - http://goo.gl/WtxxY3] - [Instagram ✓ - http://goo.gl/gk1MhO] Começando a Copa do ...;2018-05-29T19:31:35.000Z;https://i.ytimg.com/vi/FLf1vkE9OWA/hqdefault.jpg;784703;19883;832;0;1067
UlYSYf-Ad20;FRANÇA VS ARGENTINA-melhores-momentos completo copa do mundo 2018 RUSSIA;futebol do bom;UCh_BkPFmKf_bZqBevGOhjXA;;2018-09-10T19:46:07.000Z;https://i.ytimg.com/vi/UlYSYf-Ad20/hqdefault.jpg;30377;716;16;0;25
xtwUEjqe2Wc;NOVA LOL SURPRESA DA COPA DO MUNDO 2018 DA RUSSIA! FALSA OU VERDADEIRA?;Dino Bagunça;UCvRbuosHPW5kDamCkUOxvwQ;No vídeo de hoje vamos abrir uma bola surpresa eelhoe da copa do mundo. LOL Falsa ou Verdadeira? Contato Comercial: kidsplaybrasil@gmail.com Minha ...;2018-06-09T10:00:06.000Z;https://i.ytimg.com/vi/xtwUEjqe2Wc/hqdefault.jpg;237567;22141;429;0;611
DKsbn8zv1LE;RUMO AO HEXA!!! MODO FIFA COPA DO MUNDO COMPLETO!;Lucas Cordeiro;UCRrqdOG8U12WecJpW2orGrA;ÚLTIMO VÍDEO - https://youtu.be/tW_2db5JBF8 SE INSCREVAAAA https://goo.gl/DRS6gq CONTATO COMERCIAL: lucascordeiro@amazingpixel.com ...;2018-05-30T17:20:27.000Z;https://i.ytimg.com/vi/DKsbn8zv1LE/hqdefault.jpg;2432152;50540;1424;0;6803
ieiDoxFXYQ0;Copa do mundo UCI de XCO 2018. Etapa Canadá.;Valdair Junior;UCbCfFTEyUqqDyGC3HSS07BQ;Ultima volta da etapa do Canadá da copa do mundo UCI de XCO. Nesse momento Nino avia quebrado uma corrente e estava em sétimo lugar.;2018-08-12T23:02:22.000Z;https://i.ytimg.com/vi/ieiDoxFXYQ0/hqdefault.jpg;81132;696;29;0;5
LvRmIlEVVR4;ABRINDO UMA CAIXA MISTERIOSA DE $100 DA COPA DO MUNDO 2018 !!!;Área Secreta;UCcFgREmujdPHvA7I_VOmgIA;O que será que veio dentro dessa CAIXA MISTERIOSA DE $100 QUE COMPREI CHEIA DE PRODUTOS DA COPA DO MUNDO 2018!??;2018-06-20T23:21:06.000Z;https://i.ytimg.com/vi/LvRmIlEVVR4/hqdefault.jpg;1106566;73584;2137;0;3769
FeRgyt_ZO1c;ÁLBUM CASEIRO DA COPA DO MUNDO 2018 #1  /ÁLBUM CASEIRO COPA RUSSIA 2018;Mundinho da Letícia Dolls e Toys;UCzJ3aPLwTMDVbNkJqrfJ0pw;MELHOR ÁLBUM CASEIRO DA COPA DO MUNDO RUSSIA 2018!!! ABRINDO PACOTE DE FIGURINHAS DESENHADAS.;2018-06-03T16:08:16.000Z;https://i.ytimg.com/vi/FeRgyt_ZO1c/hqdefault.jpg;679336;13922;5778;0;0
0X0dpb1g27w;Copa do Mundo da Rússia 2018 -  Hinos dos Paises de Seleções;Hinos de futebol futebol;UCgEJiW1LwPaaGMsKx1Bk7uA;Copa do Mundo da Rússia 2018 - Hinos dos Países de Seleções 01 Brasil 00:39 02 Argentina 02:32 03 Uruguai 03:37 04 Colômbia 05:32 05 Peru 08:08 06 ...;2018-05-20T18:23:07.000Z;https://i.ytimg.com/vi/0X0dpb1g27w/hqdefault.jpg;42602;711;31;0;121
MyNAdX7bR-k;TODA EMOÇÃO DA FINAL DA COPA DO MUNDO 2018 - DESIMPEDIDOS DENTRO DO ESTÁDIO;Desimpedidos;UCFjrDmEnxrG5TRGVO0TPHLA;Viver a Copa do Mundo foi com certeza uma das melhores sensações que o Desimpedidos já passou e a gente colou até na final, muleque!!! Foi incrível e a ...;2018-07-17T22:00:00.000Z;https://i.ytimg.com/vi/MyNAdX7bR-k/hqdefault.jpg;684150;56546;508;0;1786
54ziXccc6c0;A história da copa do mundo de 2018 parte 01;VamosfalardeFutebol;UCbXIUDHjX5PboKDuOhQcTMA;Compartilha!! Link do Filmora: ...;2018-07-23T19:37:57.000Z;https://i.ytimg.com/vi/54ziXccc6c0/hqdefault.jpg;64866;3362;69;0;348
JNcRerS6YZw;FUI CAMPEÃO DA COPA DO MUNDO DA RÚSSIA 2018 NO DESAFIO DE FUTEBOL;MS2;UCDGo2UJSZgsSYJAEUX4wahw;INSTAGRAM MS2: https://www.instagram.com/michelbatista177 ☆ Contato Comercial: msdbm2011@hotmail.com ☆ Para consultas empresariais: ...;2018-06-23T19:00:00.000Z;https://i.ytimg.com/vi/JNcRerS6YZw/hqdefault.jpg;376487;9923;341;0;343
H4hkFuAOY7E;A EVOLUÇÃO DOS MASCOTES DA COPA DO MUNDO!!! (DE 1966 ATÉ 2018);Full;UC88zpEpyV_wQR4MXO05xf2Q;Canal Manual do Youtube: http://bit.ly/CanalManualdoYoutube ▻Meu Instagram: https://www.instagram.com/fullzao (@Fullzao) ▻Me siga no Twitter: ...;2018-04-24T22:30:01.000Z;https://i.ytimg.com/vi/H4hkFuAOY7E/hqdefault.jpg;380526;15002;539;0;730
kei7ibLj5qM;FIFA 18 - World Cup - A COPA DO MUNDO RÚSSIA 2018 JÁ COMEÇOU | PS4,XBOX ONE e PC;Monster Games;UC7l-l_2z93ZbS3W5782GowQ;FIFA 18 - World Cup - A COPA DO MUNDO RÚSSIA 2018 JÁ COMEÇOU | PS4,XBOX ONE e PC ▻GOSTOU? DEIXE SEU LIKE E COMPARTILHE O VÍDEO!;2018-05-30T01:16:06.000Z;https://i.ytimg.com/vi/kei7ibLj5qM/hqdefault.jpg;139589;3821;214;0;302
7FDaXRK2cf0;QUE ISSO!!! OS MELHORES BUGS DO FIFA COPA DO MUNDO 2018!;Lucas Cordeiro;UCRrqdOG8U12WecJpW2orGrA;ÚLTIMO VÍDEO - https://youtu.be/3ix0EnZxe50 SE INSCREVAAAA https://goo.gl/DRS6gq CONTATO COMERCIAL: lucascordeiro@amazingpixel.com CAMISAS ...;2018-06-11T14:26:42.000Z;https://i.ytimg.com/vi/7FDaXRK2cf0/hqdefault.jpg;655092;21591;530;0;718
agswpj2ITk0;REPRODUZINDO GOLS DE COPA DO MUNDO;CanalCanalha;UCPHXtOVmjvbP9OJihsd7gCg;DEIXA O LIKE, SE INSCREVA & COMPARTILHA PRA GERAL! VIDEO ANTERIOR https://www.youtube.com/watch?v=C5-JS2Dwpd8 INSTAGRAM @cocielo ...;2018-06-26T21:30:01.000Z;https://i.ytimg.com/vi/agswpj2ITk0/hqdefault.jpg;3406232;666225;18586;0;14175
vZzGI_mw1C8;Cavalinhos do Fantástico na Copa do Mundo 2018 - Brasil x México;Luiz Henrique;UC6EpMPRW1_p5xIZaxtfWdVg;Sucesso nas noites de domingo, os Cavalinhos do Brasileirão vão mudar de função. Pelo menos por um tempo. O animado grupo animalesco já está de malas ...;2018-07-04T22:47:01.000Z;https://i.ytimg.com/vi/vZzGI_mw1C8/hqdefault.jpg;32773;520;13;0;10
FNdHCv1N8sw;Fábio Rabin - Copa do Mundo da Rússia 2018;Fábio Rabin;UCOZGtLl5E-aUWknhhFVRu2w;Próximos shows em AGOSTO, garanta seu Lugar: 04 / 08 São Paulo (SP) https://carrinho.tudus.com.br/teatro-das-artes-to-viajando/tickets?scheduleId=29414 ...;2018-06-17T14:28:04.000Z;https://i.ytimg.com/vi/FNdHCv1N8sw/hqdefault.jpg;954723;38954;934;0;714
V3ks-2w_f-I;Copa do Mundo da Rússia 2018 no Super Nintendo (ISSD Snes Hack);Ruivo ™;UCenM8DcC2UXzF97FWCC4Zdw;Gameplay e download no blog do canal da hack Copa do Mundo da Rússia 2018 (by equipe Forte Gomba) no Super Nintendo, feita com base no International ...;2018-06-01T23:24:05.000Z;https://i.ytimg.com/vi/V3ks-2w_f-I/hqdefault.jpg;17382;781;13;0;109
MibNqxAPZCA;Países que não estarão na copa do mundo de 2018;VamosfalardeFutebol;UCbXIUDHjX5PboKDuOhQcTMA;Compartilha!!! Olá pessoas ligadas no canal vamos falar de futebol,mais um vídeo depois de alguns meses sem postar kkk,nó vídeo de hoje falaremos das ...;2017-11-09T18:06:00.000Z;https://i.ytimg.com/vi/MibNqxAPZCA/hqdefault.jpg;138098;3992;213;0;668
_MzowvvKL5Q;Finais de Copa do Mundo (1990-2018);Rodrigo Produções;UCcvSOjvnzOazIcbZb-5Zreg;Finais de Copa do Mundo entre 1990 até 2018.;2018-07-22T10:52:23.000Z;https://i.ytimg.com/vi/_MzowvvKL5Q/hqdefault.jpg;623032;0;0;0;891
